								Sun		Mon		Tue		Wed		Thu		Fri		Sat							
Merged-03-oct.tsv:8bd5b220-c5ae-102f-97df-a511da50c87b	Brad's Salon	1007 Monticello St 	Greensboro	NC	27410	USA	(336) 851-6711					9:00 AM	6:00 PM	9:00 AM	6:00 PM	9:00 AM	6:00 PM	9:00 AM	6:00 PM	9:00 AM	4:00 PM	www.bradssalon.com	http://www.yelp.com/biz/brads-salon-greensboro		http://local.yahoo.com/info-46405813-brad-s-salon-greensboro	https://plus.google.com/117316336597515684030/about?gl=in&hl=en	https://www.facebook.com/pages/Brads-Salon/125495774169841
Merged-03-oct.tsv:8beac7b0-c625-102f-8fff-552996fe7057	Pearl Drops Teahouse	422 Willingdon Avenue 	Burnaby	BC	V5C 5G4	Canada	(604) 299-8975	11:00 AM	11:00 PM	11:00 AM	11:00 PM	11:00 AM	11:00 PM	11:00 AM	11:00 PM	11:00 AM	11:00 PM	11:00 AM	12:00 AM	11:00 AM	12:00 AM	http://www.pearldropstea.com/	http://www.yelp.ca/biz/pearl-drops-teahouse-burnaby			https://plus.google.com/106056274961435458109/about?hl=en	https://www.facebook.com/pearldropsteahouse
Merged-03-oct.tsv:8bead100-b0d7-102f-be3f-af84a8b91af8	Theory	9 W Hubbard St. 	Chicago	IL	60654	USA	(312) 644-0004	11:00 AM	12:00 AM	11:00 AM	2:00 AM	11:00 AM	2:00 AM	11:00 AM	2:00 AM	11:00 AM	2:00 AM	11:00 AM	2:00 AM	11:00 AM	3:00 AM	http://www.theorychicago.com/home.html	http://www.yelp.com/biz/theory-chicago-2			https://plus.google.com/103681239670255325290/about?gl=US&hl=en-US	https://www.facebook.com/TheoryChicago
Merged-03-oct.tsv:8c001a70-b09a-102f-adf3-d19f428586f0	Divas & Devils House of Style	1300 N Monroe St. 	Tallahassee	FL	32303	USA	(850) 580-6662			10:30 AM	7:00 PM	10:30 AM	7:00 PM	10:30 AM	7:00 PM	10:30 AM	7:00 PM	10:30 AM	7:00 PM	10:30 AM	7:00 PM	http://www.divas-devils.com/	http://www.yelp.com/biz/divas-and-devils-tallahassee			https://plus.google.com/101743813905181994497/about?gl=US&hl=en-US	https://www.facebook.com/DivasandDevils
Merged-03-oct.tsv:8c0410c0-af97-102f-9fd5-b06ab5c2e9ad	Milwaukee ChopHouse	633 North 5th St. 	Milwaukee	WI	53203	USA	(414) 226-2467			5:00 PM	10:00 PM	5:00 PM	10:00 PM	5:00 PM	10:00 PM	5:00 PM	10:00 PM	5:00 PM	10:00 PM	5:00 PM	10:00 PM	www.milwaukeechophouse.com	http://www.yelp.com/biz/milwaukee-chophouse-milwaukee		http://local.yahoo.com/info-16731363-milwaukee-chophouse-milwaukee	https://plus.google.com/109739505573449793002/about?gl=US&hl=en	https://www.facebook.com/milwaukeechophouse
Merged-03-oct.tsv:8c15a9e0-c5c5-102f-9ffb-f5d73f3b00b8	Demetris	660 Lake Cook Rd. 	Deerfield	IL	60015	USA	(847) 940-0777	12:00 PM	9:00 PM	11:00 AM	10:00 PM	11:00 AM	10:00 PM	11:00 AM	10:00 PM	11:00 AM	10:00 PM	11:00 AM	10:00 PM	4:00 PM	11:00 PM	www.demetrisrestaurant.com	http://www.yelp.com/biz/demetris-greek-restaurant-and-fresh-seafood-deerfield	http://www.tripadvisor.com/Restaurant_Review-g35886-d429814-Reviews-Demetris-Deerfield_Lake_County_Illinois.html	http://travel.yahoo.com/p-travelguide-17159850R-demetris-i	https://plus.google.com/102837285190088792987/about?gl=in&hl=en	https://www.facebook.com/pages/Demetris-Greek-Restaurant/292252170828363
Merged-03-oct.tsv:8c19a310-b030-102f-a2ff-5cddd1829c07	TechCity Bowl	13033 NE 70th Pl. 	Kirkland	WA	98033	USA	(425) 827-0785	9:00 AM	12:00 AM	11:00 AM	12:00 AM	11:00 AM	12:00 AM	11:00 AM	12:00 AM	11:00 AM	12:00 AM	11:00 AM	2:00 AM	9:00 AM	2:00 AM	www.techcitybowl.com	http://www.yelp.com/biz/techcity-bowl-kirkland	http://www.tripadvisor.com/Attraction_Review-g58541-d1019750-Reviews-Techcity_Bowl_Fun_Center-Kirkland_Washington.html	http://local.yahoo.com/info-22114064-tech-city-bowl-fun-center-kirkland	https://plus.google.com/103467824404584513277/about?gl=in&hl=en	https://www.facebook.com/techcitybowling
Merged-03-oct.tsv:8c1fb550-b127-102f-b9fb-1d004120514c	Tulsa Ballet	1212 E 45th Place South	Tulsa	OK	74105	USA	(918) 749-6030	closed	closed	9:00 AM	5:00 PM	9:00 AM	5:00 PM	9:00 AM	5:00 PM	9:00 AM	5:00 PM	9:00 AM	5:00 PM	closed	closed	http://www.tulsaballet.org/index.asp			http://local.yahoo.com/info-94505611-tulsa-ballet-center-for-dance-education-tulsa	https://plus.google.com/109231101465305850137/about?gl=US&hl=en	https://www.facebook.com/TulsaBallet?ref=ts
Merged-03-oct.tsv:8c248410-c61f-102f-bcfd-cb48a38754df	Off the Griddle	4926 SE Division St	Portland	OR	97206	USA	(503) 989-3908	12:00 PM	8:00 PM	closed	closed	closed	closed	12:00 PM	10:00 PM	12:00 PM	10:00 PM	12:00 PM	11:00 PM	12:00 PM	11:00 PM	http://bit.ly/pNtndM	http://www.yelp.com/biz/off-the-griddle-portland			https://plus.google.com/115011886184717835432/about?gl=US&hl=en	https://www.facebook.com/offthegriddle
Merged-03-oct.tsv:8c2aa681-b092-102f-9eff-ad732afc28ba	Maiberry	333 S Federal Blvd. 	Denver	CO	80219	USA	(720) 287-1437	11:00 AM	9:00 PM	11:00 AM	9:00 PM	11:00 AM	9:00 PM	11:00 AM	9:00 PM	11:00 AM	9:00 PM	11:00 AM	10:00 PM	11:00 AM	10:00 PM	www.maiberry.com	http://www.yelp.com/biz/maiberry-denver		http://local.yahoo.com/info-89343246-maiberry-denver	https://plus.google.com/115525328802758323880/about?gl=in&hl=en	https://www.facebook.com/pages/Maiberry/91353465578
Merged-03-oct.tsv:8c2e6a20-c656-102f-9fba-ad8687a14492	The Edge of Texas Steakhouse and Saloon	8690 Edge of Texas St. 	El Paso	TX	79934	USA	(915) 822-3343	11:00 AM	10:00 PM	closed	closed	closed	closed	11:00 AM	10:00 PM	11:00 AM	10:00 PM	11:00 AM	10:00 PM	11:00 AM	10:00 PM	http://www.edgeoftexas.biz/	http://www.yelp.com/biz/the-edge-of-texas-steakhouse-and-saloon-el-paso	http://www.tripadvisor.in/Restaurant_Review-g60768-d820887-Reviews-Edge_of_Texas_Steakhouse_and_Saloon-El_Paso_Texas.html	http://local.yahoo.com/info-19522841-the-edge-of-texas-steakhouse-saloon-el-paso	https://plus.google.com/103906931605669520170/about?gl=in&hl=en	https://www.facebook.com/pages/The-Edge-of-Texas-Steakhouse-Saloon/117083714976626
Merged-03-oct.tsv:8c323880-c647-102f-b7ea-c8067df537d3	Shore Hotel	1515 Ocean Ave. 	Santa Monica	CA	90401	USA	(310) 458-1515	24 H	24 H	24 H	24 H	24 H	24 H	24 H	24 H	24 H	24 H	24 H	24 H	24 H	24 H	http://shorehotel.com/	http://www.yelp.com/biz/shore-hotel-santa-monica	http://www.tripadvisor.in/Hotel_Review-g33052-d2257239-Reviews-Shore_Hotel-Santa_Monica_California.html	http://local.yahoo.com/info-94173061-shore-hotel-santa-monica	https://plus.google.com/116299414860012774095/about?gl=in&hl=en	https://www.facebook.com/ShoreHotel
Merged-03-oct.tsv:8c3b9f71-b2a0-102f-b77e-527dc80c57e4	Dr. Ken Cirka	1601 Walnut St. 	Philadelphia	PA	19102	USA	(215) 568-6277			8:00 AM	5:00 PM	8:00 AM	5:00 PM	8:00 AM	5:00 PM	8:00 AM	5:00 PM	8:00 AM	5:00 PM			http://www.philadelphiadentist.com/	http://www.yelp.com/biz/ken-cirka-dmd-philadelphia		http://local.yahoo.com/info-27936769-cirka-ken-dds-cirka-ken-dds-philadelphia	https://plus.google.com/101005818160802781435/about?gl=US&hl=en-US	https://www.facebook.com/pages/Dr-Ken-Cirka-DMD/142418484400
Merged-03-oct.tsv:8c3bfe40-b0d7-102f-aed7-5918f430e389	Wrigleyville Rooftops	1032 W Waveland	Chicago	IL	60613	USA	(773) 248-7663			10:00 AM	5:00 PM	10:00 AM	5:00 PM	10:00 AM	5:00 PM	10:00 AM	5:00 PM	10:00 AM	5:00 PM			http://wrigleyvillerooftops.com/	http://www.yelp.com/biz/wrigleyville-rooftops-chicago				https://www.facebook.com/wrigleyrooftops
Merged-03-oct.tsv:8c3fd0b0-c5d1-102f-b76d-cdbc02a94627	Enzo & Angela The Italian Restaurant	11701 Wilshire Blvd. 	Los Angeles	CA	90025	USA	(310) 477-3880			11:00 AM	9:30 PM	11:00 AM	9:30 PM	11:00 AM	9:30 PM	11:00 AM	9:30 PM	11:00 AM	9:30 PM	5:00 PM	9:30 PM	http://www.enzoandangela.com	http://www.yelp.com/biz/enzo-and-angela-the-italian-restaurant-los-angeles		http://local.yahoo.com/info-38609951-enzo-and-angela-the-italian-restaurant-los-angeles?csz=West+L.A.%2C+Los+Angeles%2C+CA+90025	https://plus.google.com/105068003445768224169/about?gl=in&hl=en	https://www.facebook.com/pages/Enzo-and-Angela-The-Italian-Restaurant/119996538057216
Merged-03-oct.tsv:8c409a90-c5fe-102f-bedd-8f094be73f1a	Just Breathe Yoga	3971 Rivermark Plaza 	Santa Clara	CA	95054	USA	(415) 517-2310	8:30 AM	6:30 PM	11:30 AM	9:00 PM	11:30 AM	9:00 PM	11:30 AM	9:00 PM	11:30 AM	9:00 PM	11:30 AM	9:00 PM	7:30 AM	6:30 PM	www.justbreatheyogarivermark.com	http://www.yelp.com/biz/just-breathe-yoga-santa-clara		http://local.yahoo.com/info-90786603-just-breathe-yoga-santa-clara	https://plus.google.com/111209220506197932678/about?hl=en	https://www.facebook.com/justbreatheyoga
Merged-03-oct.tsv:8c4e74d0-b0d7-102f-b5d7-024a44ab3d37	Alvin Ailey	405 W 55th St. 	New York	NY	10019	USA	(212) 405-9000			8:00 AM	10:00 PM	8:00 AM	10:00 PM	8:00 AM	10:00 PM	8:00 AM	10:00 PM	8:00 AM	10:00 PM	9:00 AM	8:00 PM	http://www.theaileyschool.edu	http://www.yelp.com/biz/the-ailey-extension-new-york		http://travel.yahoo.com/p-travelguide-27525816-alvin_ailey_american_dance_theater_new_york_city-i	https://plus.google.com/108944965000391074563/about?gl=US&hl=en	https://www.facebook.com/AlvinAileyAmericanDanceTheater
Merged-03-oct.tsv:8c595540-c657-102f-9d6f-3f77c9adb1b7	The Massage Spot	507 Pier Ave. Suite B	Hermosa Beach	CA	90254	USA	(310) 798-8900	10:00 AM	9:00 PM	10:00 AM	9:00 PM	10:00 AM	9:00 PM	10:00 AM	9:00 PM	10:00 AM	9:00 PM	10:00 AM	10:00 PM	10:00 AM	9:00 PM	http://www.themassagespot.com/store/eindex.php?page=home	http://www.yelp.com/biz/the-massage-spot-hermosa-beach-2		http://local.yahoo.com/info-31947026-the-massage-spot-a-mini-day-spa-hermosa-beach	https://plus.google.com/116563022471637834476/about?gl=in&hl=en	https://www.facebook.com/themassagespotdenver
Merged-03-oct.tsv:8c596c70-b1f7-102f-90ac-18704ef01a9e	6 Salon	306 W 6th St. 	Royal Oak	MI	48067	USA	(248) 398-1586	closed	closed	9:00 AM	9:00 PM	9:00 AM	9:00 PM	9:00 AM	9:00 PM	9:00 AM	12:00 PM	9:00 AM	9:00 PM	9:00 AM	5:00 PM	www.sixsalon.com	http://www.yelp.com/biz/6-salon-royal-oak		http://local.yahoo.com/info-16134350-6-salon-royal-oak	https://plus.google.com/109226393881630113319/about?hl=en	https://www.facebook.com/6salon?v=wall&ref=search
Merged-03-oct.tsv:8c5c1460-c657-102f-b6be-79d6701e5a2f	The Massage Spot	507 Pier Ave. Suite B	Hermosa Beach	CA	90254	USA	(310) 798-8900	10:00 AM	9:00 PM	10:00 AM	9:00 PM	10:00 AM	9:00 PM	10:00 AM	9:00 PM	10:00 AM	9:00 PM	10:00 AM	10:00 PM	10:00 AM	9:00 PM	http://www.themassagespot.com/store/eindex.php?page=home	http://www.yelp.com/biz/the-massage-spot-hermosa-beach-2		http://local.yahoo.com/info-31947026-the-massage-spot-a-mini-day-spa-hermosa-beach	https://plus.google.com/116563022471637834476/about?gl=in&hl=en	https://www.facebook.com/themassagespotdenver
Merged-03-oct.tsv:8c5de200-c5bb-102f-bfe7-1f7549ca4136	Clean Freak Car Wash	1702 N 44th Street 	Phoenix	AZ	85008	USA	(408) 812-3900	7:00 AM	7:00 PM	7:00 AM	7:30 PM	7:00 AM	7:30 PM	7:00 AM	7:30 PM	7:00 AM	7:30 PM	7:00 AM	7:30 PM	7:00 AM	7:30 PM	cleanfreakcarwash.com	http://www.yelp.com/biz/clean-freak-car-wash-phoenix			https://plus.google.com/100079590319101975007/about?hl=en	https://www.facebook.com/pages/CleanFreak-Express-Car-Wash/196141350156?ref=ts
Merged-03-oct.tsv:8c6cc4f0-b058-102f-9679-99f100c356f4	The New York Butcher Shoppe	2131 Woodruff Road Suite 2100 #128	Greenville	SC	29607	USA	(404) 303-0704															www.nybutcher.net	http://www.yelp.com/biz/new-york-butcher-shoppe-greenville-2		http://local.yahoo.com/info-29299421-conrad-shane-new-york-butcher-shoppe-greenville;_ylt=AhUkJWowqmxHmlgW4LmvKz2HNcIF;_ylv=3?csz=Mauldin%2C+SC	https://plus.google.com/116137225157347457193/about?gl=in&hl=en	https://www.facebook.com/pages/New-York-Butcher-Shoppe/134799499903880
Merged-03-oct.tsv:8c7c1480-b0d7-102f-8e7d-f788542a2982	Dance 101	2480 Briarcliff Rd. NE Suite 11	Atlanta	GA	30329	USA	(404) 542-3887	9:00 AM	3:00 PM	10:00 AM	9:00 PM	10:00 AM	9:00 PM	10:00 AM	10:00 PM	10:00 AM	9:30 PM	4:30 PM	7:30 PM	9:00 AM	3:00 PM	www.dance101.org	http://www.yelp.com/biz/dance-101-atlanta		http://local.yahoo.com/info-28352679-dance-101-atlanta	https://plus.google.com/108008366600920594658/about?gl=US&hl=en	https://www.facebook.com/pages/Dance-101/20020872014
Merged-03-oct.tsv:8c809880-c5f8-102f-9d7c-67a49619da4f	Ink Spell Books	500 Purissima Street 	Half Moon Bay	CA	94019	USA	(650) 726-6571	9:00 AM	6:00 PM	9:00 AM	7:00 PM	9:00 AM	7:00 PM	9:00 AM	7:00 PM	9:00 AM	7:00 PM	9:00 AM	7:00 PM	9:00 AM	7:00 PM	http://www.inkspellbooks.com/	http://www.yelp.com/biz/ink-spell-books-half-moon-bay		http://local.yahoo.com/info-42381744-ink-spell-books-half-moon-bay	https://plus.google.com/103131168204322200205/about?gl=US&hl=en	https://www.facebook.com/InkSpellBooks
Merged-03-oct.tsv:8c85fcc1-b11d-102f-b17b-2d4d1f5b9c9c	Dram Shop	339 9th St. 	New York	NY	11215	USA	(718) 788-1444	12:00 PM	4:00 AM	3:00 PM	4:00 AM	3:00 PM	4:00 AM	3:00 PM	4:00 AM	3:00 PM	4:00 AM	3:00 PM	4:00 AM	12:00 PM	4:00 AM	http://www.dramshopbrooklyn.com/Home.html	http://www.yelp.com/biz/dram-shop-brooklyn		http://local.yahoo.com/details?id=52615722&stx=bars&csz=New+York+NY	https://plus.google.com/102137805988171406731/about?gl=US&hl=en	https://www.facebook.com/pages/Dram-Shop/120654387947747
Merged-03-oct.tsv:8c894b10-c5f8-102f-bafb-114c96e22f0e	Inka Grill	260 Bristol St. 	Costa Mesa	CA	92628	USA	(714) 444-4652	11:00 AM	9:00 PM	11:00 AM	9:00 PM	11:00 AM	9:00 PM	11:00 AM	9:00 PM	11:00 AM	9:00 PM	11:00 AM	9:00 PM	11:00 AM	9:00 PM	http://www.twoservings.tumblr.com/post/638654466/inka-grill-costa-mesa-ca/	http://www.yelp.com/biz/inka-grill-costa-mesa		http://local.yahoo.com/info-21011762	https://plus.google.com/106689704730010469027/about?gl=US&hl=en	
Merged-03-oct.tsv:60f66950-b073-102f-afeb-4b226c42095d	Bread and Yoga	20 Cumming St.	New York	NY	10034	USA	(212) 569-4112															www.breadandyoga.com					
Merged-03-oct.tsv:6104fe70-b488-102f-af73-4393f3e74531	San Francisco City Glass	3255 3rd Street 	San Francisco	CA	94124	USA	(415) 336-4454	9:00 AM	2:00 PM	8:00 AM	7:00 PM	8:00 AM	7:00 PM	8:00 AM	7:00 PM	8:00 AM	7:00 PM	8:00 AM	7:00 PM	9:00 AM	2:00 PM	www.sfcityglass.com	http://www.yelp.com/biz/QPcRG1c46ZEs-hKkX6YX4w				http://www.facebook.com/pages/San-Francisco-City-Glass-415-336-4454/112854892130147?fref=ts
Merged-03-oct.tsv:6110c330-b033-102f-a77d-4941ad7e1750	Uncle Vinny's NY Pizza	322 W Kenosha St. 	Broken Arrow	OK	74012	USA	(918) 251-6666																http://www.yelp.com/biz/uncle-vinnys-new-york-style-pizzeria-broken-arrow	http://www.tripadvisor.in/Restaurant_Review-g51224-d890499-Reviews-UNCLE_Vinny_s_NY_Pizza-Broken_Arrow_Oklahoma.html	http://local.yahoo.com/info-37939434-uncle-vinny-s-new-york-pizza-broken-arrow?tab=webreviews	http://g.co/maps/kzbtm	http://www.facebook.com/pages/Uncle-Vinnys-NY-Pizza/109962232350392
